0,1,2,3,4,5,6,7,8
Date,Open,High,Low,Close,Adj,Close,Volume,
Jun,"11,",2025,"1,445.80","1,468.60","1,443.10","1,448.90","1,443.14","8,195,700"
Jun,"10,",2025,"1,450.00","1,453.90","1,436.00","1,438.50","1,432.78","7,913,181"
Jun,"9,",2025,"1,457.00","1,457.50","1,445.30","1,448.80","1,443.04","7,885,125"
Jun,"6,",2025,"1,441.00","1,451.50","1,437.00","1,443.50","1,437.76","8,182,161"
Jun,"5,",2025,"1,428.00","1,454.70","1,423.60","1,442.40","1,436.66","13,716,817"
Jun,"4,",2025,"1,414.70","1,425.70","1,406.10","1,423.50","1,417.84","8,126,827"
Jun,"3,",2025,"1,422.30","1,426.50","1,403.40","1,405.50","1,399.91","11,252,626"
Jun,"2,",2025,"1,412.10","1,417.50","1,395.60","1,413.70","1,408.08","8,098,668"
May,"30,",2025,"1,418.00","1,430.60","1,409.70","1,420.90","1,415.25","13,788,484"
May,"29,",2025,"1,412.10","1,420.00","1,408.60","1,417.80","1,412.16","13,771,917"
May,"28,",2025,"1,420.10","1,422.60","1,410.70","1,412.90","1,407.28","5,944,611"
May,"27,",2025,"1,426.10","1,437.00","1,413.90","1,422.10","1,416.44","12,640,414"
May,"26,",2025,"1,432.00","1,441.00","1,425.10","1,434.80","1,429.09","4,842,944"
May,"23,",2025,"1,406.60","1,433.80","1,406.60","1,426.80","1,421.12","6,474,883"
May,"22,",2025,"1,421.20","1,423.80","1,396.90","1,409.40","1,403.79","12,134,466"
May,"21,",2025,"1,423.90","1,436.20","1,418.10","1,429.20","1,423.51","6,136,364"
May,"20,",2025,"1,438.20","1,445.00","1,421.80","1,424.60","1,418.93","11,270,560"
May,"19,",2025,"1,452.10","1,454.60","1,438.20","1,440.80","1,435.07","6,195,791"
May,"16,",2025,"1,453.20","1,461.00","1,447.30","1,456.40","1,450.61","9,036,695"
May,"15,",2025,"1,425.00","1,461.40","1,412.70","1,454.20","1,448.42","20,177,211"
May,"14,",2025,"1,420.00","1,429.90","1,415.50","1,424.40","1,418.73","5,570,160"
May,"13,",2025,"1,433.50","1,447.70","1,412.40","1,415.70","1,410.07","11,407,896"
May,"12,",2025,"1,400.00","1,439.00","1,400.00","1,436.50","1,430.79","10,674,081"
May,"9,",2025,"1,385.50","1,394.80","1,374.50","1,377.20","1,371.72","13,668,904"
May,"8,",2025,"1,404.10","1,420.80","1,398.00","1,407.00","1,401.40","16,106,175"
